,Super Effective (x4),Super Effective (x2),Resisted (x1/2),Resisted (x1/4),Immune,Neutral
normal/normal,0.0,0.0,0.030603131852974044,0.0,0.0026200083852737136,2.2789989417098786
normal/fire,0.0,0.8788062986186123,0.005425490296929088,0.0,0.0,1.4279902930325856
normal/water,0.0,0.6651174172110079,0.0,0.0,0.0,1.6471046647371175
normal/electric,0.0,0.787721652553534,0.0,0.0,0.0,1.5245004293945914
normal/grass,0.0,0.8698240806981288,0.003297999847257096,0.0,0.0,1.43910000140274
normal/ice,0.0,1.0158650002104113,0.003297999847257096,0.0,0.0,1.2930590818904577
normal/fighting,0.0,1.0044685092448424,0.0,0.0,0.0026200083852737136,1.3051335643180102
normal/poison,0.0,0.5177594798013093,0.03322314023824775,0.0,0.0,1.7612394619085694
normal/ground,0.0,0.9525670938792183,0.0,0.0,0.0,1.3596549880689084
normal/flying,0.0,0.784637181051775,0.01718357670888917,0.0,0.0,1.5104013241874616
normal/psychic,0.0,0.4297421606263084,0.003297999847257096,0.0,0.0,1.8791819214745602
normal/bug,0.0,0.7908030068531692,0.01179705143851085,0.0,0.0,1.5096220236564464
normal/rock,0.0,0.935042183537744,0.003297999847257096,0.0,0.0,1.373881898563125
normal/ghost,0.0,0.44342044354669014,0.0,0.0,0.0,1.8688016384014352
normal/dragon,0.0,0.16403964457661382,0.003297999847257096,0.0,0.0,2.144884437524254
normal/dark,0.0,0.44342044354669014,0.0,0.0,0.0,1.8688016384014352
normal/steel,0.0,0.5144131633211294,0.003297999847257096,0.0,0.0,1.7945109187797401
normal/fairy,0.0,0.5244427611552975,0.003297999847257096,0.0,0.0,1.7844813209455717
fire/normal,0.0,0.8788062986186123,0.005425490296929088,0.0,0.0,1.4279902930325856
fire/fire,0.0,0.8788062986186123,0.1393404935466123,0.0,0.0,1.2940752897829024
fire/water,0.0,1.3905261993045521,0.047732157524692134,0.0,0.0,0.8739637251188823
fire/electric,0.0,1.4816435759919324,0.0030174516560915587,0.0,0.0,0.8275610543001028
fire/grass,0.0,1.5419474096829646,0.018517739217987505,0.0,0.0,0.7517569330471747
fire/ice,0.0,1.4331695243617144,0.05987521839897382,0.0,0.0,0.8191773391874392
fire/fighting,0.0,1.4564238522072124,0.0,0.0,0.0,0.8557982297409141
fire/poison,0.0,1.015865000210412,0.005425490296929088,0.0,0.0,1.2909315914407862
fire/ground,0.0,1.5019973472609922,0.0,0.0,0.0,0.8102247346871343
fire/flying,0.0,1.0328662205950425,0.005425490296929088,0.0,0.0,1.2739303710561547
fire/psychic,0.0,1.2124731725792195,0.0,0.0,0.0,1.0997489093689077
fire/bug,0.0,1.2462496161944887,0.006585089487079977,0.0,0.0,1.0593873762665584
fire/rock,0.0,1.3246675114284425,0.0,0.0,0.0,0.9875545705196846
fire/ghost,0.0,1.222922034099074,0.0,0.0,0.0,1.0893000478490529
fire/dragon,0.0,1.0073223077894204,0.0,0.0,0.0,1.3048997741587058
fire/dark,0.0,1.222922034099074,0.0,0.0,0.0,1.0893000478490529
fire/steel,0.0,1.178169921804985,0.05987521839897382,0.0,0.0,1.0741769417441676
fire/fairy,0.0,1.2845678233045148,0.006585089487079977,0.0,0.0,1.0210691691565321
water/normal,0.0,0.6651174172110079,0.0,0.0,0.0,1.6471046647371175
water/fire,0.0,1.3905261993045521,0.047732157524692134,0.0,0.0,0.8739637251188823
water/water,0.0,0.6651174172110079,0.11616097855209077,0.0,0.0,1.5309436861850267
water/electric,0.0,1.3172096053466253,0.03142763181478832,0.0,0.0,0.9635848447867136
water/grass,0.0,1.0581576400286161,0.03142763181478832,0.0,0.0,1.222636810104722
water/ice,0.0,1.344418104086496,0.026747152825509934,0.0,0.0,0.941056825036121
water/fighting,0.0,1.3517731424982193,0.0,0.0,0.0,0.9604489394499078
water/poison,0.0,1.0969979784944224,0.0,0.0,0.0,1.215224103453704
water/ground,0.0,1.1379346353886601,0.014968804599743455,0.0,0.0,1.1593186419597226
water/flying,0.0,1.314717402248438,0.0,0.0,0.0,0.9975046796996894
water/psychic,0.0,1.0243796378122851,0.0,0.0,0.0,1.287842444135841
water/bug,0.0,1.3196986912426885,0.0,0.0,0.0,0.9925233907054389
water/rock,0.0,1.2769602915207425,0.0,0.0,0.0,1.035261790427384
water/ghost,0.0,1.0356888471183812,0.0,0.0,0.0,1.2765332348297456
water/dragon,0.0,0.8030972520304677,0.0,0.0,0.0,1.5091248299176585
water/dark,0.0,1.0356888471183812,0.0,0.0,0.0,1.2765332348297456
water/steel,0.0,0.926237646138332,0.026747152825509934,0.0,0.0,1.3592372829842838
water/fairy,0.0,1.1024967230412668,0.0,0.0,0.0,1.2097253589068593
electric/normal,0.0,0.787721652553534,0.0,0.0,0.0,1.5245004293945914
electric/fire,0.0,1.4816435759919324,0.0030174516560915587,0.0,0.0,0.8275610543001028
electric/water,0.0,1.3172096053466253,0.03142763181478832,0.0,0.0,0.9635848447867136
electric/electric,0.0,0.787721652553534,0.09535521297504213,0.0,0.006789266226206007,1.4223559501933443
electric/grass,0.0,1.14873262354641,0.03142763181478832,0.0,0.0,1.132061826586928
electric/ice,0.0,1.3615362195507799,0.0,0.0,0.0,0.9506858623973473
electric/fighting,0.0,1.5766106973025291,0.0,0.0,0.0,0.7356113846455977
electric/poison,0.0,1.201974435825381,0.006789266226206007,0.0,0.0,1.1034583798965403
electric/ground,0.0,1.5375583890922857,0.014968804599743455,0.0,0.0,0.759694888256097
electric/flying,0.0,1.409603476303809,0.0035910168469188795,0.0,0.0,0.8990275887974
