,Super Effective (x4),Super Effective (x2),Resisted (x1/2),Resisted (x1/4),Immune,Neutral
normal/normal,0.0,0.0,0.015301565926487022,0.0,0.0013100041926368568,1.139499470854939
normal/fire,0.0,0.4394031493093062,0.002712745148464544,0.0,0.0,0.7139951465162917
normal/water,0.0,0.33255870860550407,0.0,0.0,0.0,0.8235523323685585
normal/electric,0.0,0.39386082627676705,0.0,0.0,0.0,0.7622502146972951
normal/grass,0.0,0.4349120403490643,0.001648999923628548,0.0,0.0,0.7195500007013692
normal/ice,0.0,0.5079325001052056,0.001648999923628548,0.0,0.0,0.6465295409452282
normal/fighting,0.0,0.5022342546224213,0.0,0.0,0.0013100041926368568,0.6525667821590047
normal/poison,0.0,0.2588797399006547,0.016611570119123877,0.0,0.0,0.8806197309542846
normal/ground,0.0,0.47628354693960917,0.0,0.0,0.0,0.6798274940344543
normal/flying,0.0,0.39231859052588763,0.008591788354444584,0.0,0.0,0.75520066209373
normal/psychic,0.0,0.2148710803131542,0.001648999923628548,0.0,0.0,0.9395909607372802
normal/bug,0.0,0.3954015034265846,0.005898525719255425,0.0,0.0,0.7548110118282224
normal/rock,0.0,0.46752109176887213,0.001648999923628548,0.0,0.0,0.6869409492815616
normal/ghost,0.0,0.22171022177334507,0.0,0.0,0.0,0.9344008192007174
normal/dragon,0.0,0.0820198222883069,0.001648999923628548,0.0,0.0,1.072442218762128
normal/dark,0.0,0.22171022177334507,0.0,0.0,0.0,0.9344008192007174
normal/steel,0.0,0.25720658166056465,0.001648999923628548,0.0,0.0,0.8972554593898698
normal/fairy,0.0,0.2622213805776489,0.001648999923628548,0.0,0.0,0.8922406604727863
fire/normal,0.0,0.4394031493093062,0.002712745148464544,0.0,0.0,0.7139951465162917
fire/fire,0.0,0.4394031493093062,0.06967024677330615,0.0,0.0,0.6470376448914512
fire/water,0.0,0.695263099652276,0.023866078762346067,0.0,0.0,0.4369818625594414
fire/electric,0.0,0.7408217879959662,0.0015087258280457793,0.0,0.0,0.41378052715005154
fire/grass,0.0,0.7709737048414826,0.009258869608993752,0.0,0.0,0.37587846652358714
