,Super Effective (x4),Super Effective (x2),Resisted (x1/2),Resisted (x1/4),Immune,Neutral
normal/normal,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/fire,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/water,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/electric,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/grass,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/ice,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/fighting,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/poison,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/ground,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/flying,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/psychic,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/bug,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/rock,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/ghost,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/dragon,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/dark,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/steel,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
normal/fairy,0.0,0.0,0.18628399893391687,0.0017393987852263322,0.09975202657103091,0.7122245757098259
fire/fire,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/water,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/electric,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/grass,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/ice,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/fighting,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/poison,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/ground,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/flying,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/psychic,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/bug,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/rock,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/ghost,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
fire/dragon,0.07379352588290854,0.21874030744964548,0.2576180523409409,0.013829467223398966,0.0,0.4360186471031061
