type1,type2,x0,x1/4,x1/2,x1,x2,x4,total_resistances,total_weaknesses,immunities,defensive_score
electric,steel,1,2,9,3,2,1,11,3,1,9
steel,fairy,2,1,8,5,2,0,9,2,2,9
normal,steel,2,0,10,3,2,1,10,3,2,9
ghost,steel,3,1,8,2,4,0,9,4,3,8
dragon,steel,1,1,8,6,2,0,9,2,1,8
poison,steel,1,3,6,6,1,1,9,2,1,8
steel,steel,1,10,0,4,0,3,10,3,1,8
water,steel,1,2,8,4,3,0,10,3,1,8
flying,steel,2,2,6,6,2,0,8,2,2,8
dark,steel,2,0,9,4,2,1,9,3,2,8
bug,steel,1,1,7,8,0,1,8,1,1,8
grass,steel,1,1,8,6,1,1,9,2,1,8
fire,steel,1,5,4,5,2,1,9,3,1,7
rock,steel,1,2,6,6,1,2,8,3,1,6
electric,poison,0,0,8,8,1,1,8,2,0,6
ice,steel,1,1,7,6,1,2,8,3,1,6
fighting,steel,1,2,6,6,3,0,8,3,1,6
ground,steel,2,1,7,4,4,0,8,4,2,6
psychic,steel,1,1,8,4,4,0,9,4,1,6
fire,electric,0,1,7,7,2,1,8,3,0,5
water,poison,0,0,8,7,3,0,8,3,0,5
fire,fairy,1,1,6,6,4,0,7,4,1,4
water,flying,1,0,5,10,1,1,5,2,1,4
fire,ghost,2,1,6,4,5,0,7,5,2,4
water,ground,1,0,4,12,0,1,4,1,1,4
water,ghost,2,0,6,6,4,0,6,4,2,4
electric,ghost,2,0,5,8,3,0,5,3,2,4
fire,flying,1,2,4,8,2,1,6,3,1,4
fire,ground,1,0,5,10,1,1,5,2,1,4
fire,poison,0,3,5,6,3,1,8,4,0,4
normal,ghost,3,0,2,12,1,0,2,1,3,4
dragon,fairy,1,0,7,6,4,0,7,4,1,4
electric,flying,1,0,5,10,2,0,5,2,1,4
electric,fairy,1,0,5,10,2,0,5,2,1,4
poison,dark,1,0,4,12,1,0,4,1,1,4
water,fairy,1,0,6,8,3,0,6,3,1,4
ghost,dark,3,0,1,13,1,0,1,1,3,3
